"Item";"GP";"G";"C";"I";"IE";"WS"
"a1";0,6262;9;0,0033;4;0,6262;0,5833
"a2";0,9117;9;0,0038;22;0,8429;0,4722
"a3";0,8045;11;0,0041;28;0,8045;0,3889
"a4";0,9503;9;0,0037;8;0,9503;0,3455
"a5";1,0085;7;0,0044;48;1,0085;0,381
"a6";0,9633;11;0,0037;18;0,9633;0,4727
"a7";1,1599;11;0,0044;50;1,1599;0,4182
"d1";0,9277;12;0,0039;26;0,9277;0,5303
"d2";0,6741;6;0,0036;6;0,6741;0,4667
"d3";1,0588;8;0,0039;26;0,8281;0,4286
"d4";0,912;12;0,0035;2;0,912;0,4091
"d5";0,9193;11;0,0037;10;0,9193;0,4727
"d6";1,2171;11;0,0039;34;1,2171;0,5091
"d7";1,0577;8;0,0039;22;1,0577;0,3571
"e1";0,7881;7;0,0031;2;0,7881;0,6667
"e2";1,0258;11;0,0042;34;0,795;0,3611
"e3";1,1035;9;0,0042;52;1,1035;0,5273
"e4";0,8608;9;0,0038;20;0,8608;0,5
"e5";1,1258;10;0,0032;16;1,1258;0,4889
"e6";0,7138;11;0,0036;10;0,7138;0,4364
"e7";1,1603;12;0,004;28;1,0914;0,5
