"";"1";"2";"3";"4";"5";"6";"7"
"GP";0,3262;0,2133;1,0807;0,7426;0,5078;0,4398;1,037
"G";3;3;3;6;6;3;4
"C";0,0158;0,0124;0,0235;0,0211;0,0144;0,0158;0,0215
"I";0;0;18;16;0;0;8
"IE";0,3262;0,2133;1,0807;0,7426;0,5078;0,4398;1,037
"WS";1;1;1;0,5333;0,5333;1;0,8333
