"";"1";"2";"3";"4";"5";"6";"7"
"GP";0,5054;0,8014;0,6704;0,7471;0,878;0,8808;1,1956
"G";4;4;5;5;3;5;6
"C";0,0202;0,026;0,0245;0,0228;0,0311;0,0246;0,0321
"I";0;4;0;0;6;4;8
"IE";0,5054;0,8014;0,6704;0,7471;0,878;0,8808;1,1956
"WS";1;0,6667;0,8;0,7;0,6667;0,8;0,6667
