"";"1";"2";"3";"4";"5";"6";"7"
"GP";0,7425;0,5484;0,8085;0,8032;0,8593;1,0966;1,1075
"G";4;5;5;6;5;6;3
"C";0,0279;0,0224;0,0231;0,0231;0,0246;0,0335;0,028
"I";2;0;0;0;0;14;10
"IE";0,7425;0,5484;0,8085;0,8032;0,8593;1,0966;1,1075
"WS";1;0,9;0,8;0,7333;0,9;0,7333;1
