"";"1";"2";"3";"4";"5";"6";"7"
"GP";0,7663;0,6301;0,9654;0,7241;1,0816;0,5347;1,1079
"G";3;4;6;4;6;5;6
"C";0,0193;0,02;0,0301;0,0224;0,0203;0,0181;0,026
"I";0;0;12;6;0;0;10
"IE";0,7663;0,6301;0,9654;0,7241;1,0816;0,5347;1,1079
"WS";1;1;0,7333;1;0,7333;0,9;0,7333
