"1";"2";"3";"4";"5";"6";"7"
"GP";0,1899;0,5419;0,3644;0,7169;0,6423;0,7611;0,7785
"G";1;3;4;5;4;5;4
"C";0,0127;0,019;0,0149;0,0191;0,018;0,0233;0,0199
"I";0;10;0;2;0;16;6
"IE";0,1899;0,5419;0,3644;0,7169;0,6423;0,7611;0,7785
"WS";NA;0,3333;1;0,7;1;0,7;1
