id;il1;in1;in2;cu1;il2;in3;in4;de1;cu2;il3;in5;de2;cu3;in6;il4;cu4;de3;de4;il5;cu5
75;4;2;2;1;3;1;0;4;2;3;0;4;1;3;1;2;4;3;2;1
76;4;2;1;1;4;2;0;3;1;3;2;3;1;2;4;2;3;2;3;1
77;4;0;0;0;4;2;0;3;0;3;0;2;0;0;3;0;2;2;3;0
78;3;1;0;1;3;1;1;2;1;3;1;2;1;3;3;1;3;2;3;1
79;2;3;3;3;2;2;2;3;2;4;3;4;3;2;3;0;3;3;3;3
80;2;1;1;1;1;1;1;2;0;2;2;1;0;0;2;1;1;1;2;1
81;3;2;2;2;3;2;1;2;2;3;2;2;2;3;3;2;3;2;2;2
82;3;0;0;0;4;1;0;2;2;4;1;2;1;3;3;2;4;2;4;2
83;4;1;1;1;4;1;1;1;1;4;0;2;0;0;4;0;2;0;4;0
84;3;1;3;0;3;1;0;3;1;3;0;3;0;0;3;0;3;2;3;0
85;4;1;1;3;4;1;0;3;1;4;0;2;1;3;4;1;2;1;4;2
86;2;1;2;2;3;2;0;2;1;3;1;1;1;2;3;2;2;2;3;2
87;3;0;1;2;3;1;1;2;1;3;1;1;0;1;4;2;1;1;3;1
88;4;0;0;1;4;0;0;1;0;4;0;1;1;1;4;1;1;0;4;1
89;1;2;1;3;0;1;1;4;3;2;4;4;4;2;1;2;4;4;2;2
90;3;2;2;1;3;2;1;1;1;3;1;1;1;2;3;2;1;1;3;1
91;3;1;1;0;4;1;0;4;1;3;1;3;0;1;3;1;3;2;3;1
92;3;3;4;1;3;1;0;4;3;2;3;3;1;3;2;2;2;3;2;1
93;4;1;1;2;4;2;1;2;2;4;1;2;2;2;4;1;3;3;4;2
94;3;0;1;1;3;1;0;2;1;3;2;2;1;1;3;1;1;2;3;1
95;4;1;1;1;3;0;0;2;0;4;2;2;0;1;4;1;3;1;4;1
96;4;1;1;2;3;1;1;3;3;4;1;3;3;2;4;2;3;3;3;1
