id;sex;edad;ec;nh;ne;esp;mp;rol;imf;cue
235;0;39;Soltero/soltera;0;Master;1;0;Otro;1700;Cuerpo de Maestros
236;1;34;Pareja estable;0;Master;9;1;Educación Secundaria;1400;Cuerpo de Profesores de Enseñanza Secundaria
237;0;41;Casado/casada;2;Licenciatura;4;1;Educación Secundaria;4000;Cuerpo de Profesores de Enseñanza Secundaria
238;1;29;Soltero/soltera;0;Master;1;1;Educación Secundaria;;Cuerpo de Profesores de Enseñanza Secundaria
239;0;29;Pareja estable;0;Licenciatura;1;0;Educación Primaria;;Cuerpo de Maestros
240;0;57;Casado/casada;2;Diplomatura;1;0;Educación Primaria;4000;Cuerpo de Maestros
241;0;41;Casado/casada;2;Licenciatura;19;0;Educación Primaria;;Cuerpo de Maestros
242;0;43;Casado/casada;1;Diplomatura;1;0;Educación Primaria;;Cuerpo de Maestros
243;0;36;Casado/casada;2;Diplomatura;1;0;Educación Infantil;2600;Cuerpo de Maestros
244;0;41;Casado/casada;3;Diplomatura;1;0;Jefatura de Estudios;45000;Cuerpo de Maestros
245;0;40;Casado/casada;2;Diplomatura;1;0;Otro;;Cuerpo de Maestros
246;1;43;Casado/casada;2;Licenciatura;6;0;Educación Secundaria;4000;Cuerpo de Profesores de Enseñanza Secundaria
247;0;55;Soltero/soltera;0;Licenciatura;19;0;Educación Primaria;;Cuerpo de Maestros
248;0;40;Casado/casada;2;Diplomatura;15;0;Educación Primaria;;Cuerpo de Maestros
249;0;42;Casado/casada;2;Licenciatura;1;0;Otro;;Cuerpo de Maestros
250;1;55;Casado/casada;1;Licenciatura;2;0;Dirección;4000;Otro
251;0;60;Casado/casada;2;Diplomatura;1;0;Educación Primaria;4000;Cuerpo de Maestros
252;0;57;Casado/casada;3;Licenciatura;19;0;Educación Primaria;2200;Cuerpo de Maestros
253;1;38;Soltero/soltera;0;Licenciatura;19;0;Orientación;1400;Cuerpo de Profesores de Enseñanza Secundaria
254;0;61;Soltero/soltera;0;Diplomatura;1;0;Educación Primaria;2230;Cuerpo de Maestros
255;0;39;Casado/casada;2;Diplomatura;1;0;Educación Primaria;4000;Cuerpo de Maestros
256;0;44;Casado/casada;3;Licenciatura;5;1;Educación Secundaria;3000;Profesores de Religión (Secundaria)
257;0;38;Casado/casada;3;Diplomatura;1;1;Educación Primaria;2000;Cuerpo de Maestros
