id;e1;a1;d1;a2;d2;e2;a3;e3;a4;d3;e4;e5;d4;e6;a5;d5;d6;e7;a6;a7;d7
72;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
73;2;3;1;0;0;1;0;1;0;0;0;1;0;0;0;0;0;1;0;1;0
74;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
75;2;0;1;1;0;1;0;0;0;0;0;1;2;0;1;1;0;0;1;1;0
76;2;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
77;1;1;1;0;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
78;0;0;0;0;1;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0
79;1;2;1;0;2;1;1;1;2;0;1;1;1;1;1;2;0;1;0;1;0
80;1;0;1;0;1;1;0;1;1;0;1;1;1;1;1;1;0;1;1;0;0
81;2;1;1;2;1;1;2;2;2;1;2;2;1;1;2;1;1;1;1;2;1
82;1;0;0;0;1;1;3;2;0;1;1;1;1;0;0;1;1;1;0;0;1
83;0;0;0;0;0;0;0;1;0;0;1;0;0;1;0;0;0;1;0;0;0
84;1;2;0;0;1;0;0;0;1;0;0;1;3;0;0;0;0;0;0;0;0
85;1;0;0;0;0;1;0;1;2;0;0;0;0;0;1;0;0;1;0;0;0
86;1;3;1;0;0;1;0;1;0;0;0;1;1;1;0;0;0;1;0;0;0
87;1;2;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
88;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
89;3;2;1;1;0;3;1;3;1;0;3;3;1;1;0;0;1;3;3;0;1
90;1;0;0;0;0;1;0;1;0;0;0;1;0;0;0;0;0;1;0;0;0
91;1;1;1;0;0;1;0;1;1;0;0;1;1;0;0;0;0;1;0;0;0
92;2;1;2;0;1;1;0;1;1;0;1;1;1;1;0;2;2;2;1;0;0
93;2;0;1;0;0;1;0;1;2;0;1;2;0;1;0;0;0;1;0;0;0
94;2;0;1;1;0;0;0;1;0;0;1;1;1;1;0;0;1;1;0;0;0
95;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
96;2;1;0;0;0;1;0;2;1;0;2;2;0;2;1;0;1;3;1;0;0
97;1;1;1;0;1;1;0;1;0;0;1;1;1;0;0;0;0;1;0;0;0
98;2;2;2;1;1;3;2;2;2;0;2;2;1;0;0;0;1;3;2;1;0
99;2;0;0;1;0;1;0;0;0;0;0;1;1;0;0;0;0;1;2;0;0
100;1;0;1;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;1;0
101;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
102;1;0;0;0;0;1;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0
103;1;1;0;0;0;0;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0
104;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
105;2;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
106;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
107;2;1;0;0;1;1;0;1;0;0;1;0;1;0;0;0;0;1;0;0;0
108;2;0;0;1;0;1;0;0;0;0;0;1;1;0;0;0;0;1;2;0;0
109;2;0;1;1;1;1;0;0;1;0;0;0;1;3;0;2;1;1;0;0;0
110;2;0;0;0;0;1;0;1;1;0;1;1;0;1;0;0;0;1;1;1;0
111;1;0;0;0;1;1;0;0;0;0;1;1;0;0;0;0;1;1;0;1;0
112;3;1;0;0;0;1;2;2;1;0;1;3;0;1;0;0;0;1;2;0;0
113;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
114;0;3;2;2;0;2;1;1;1;1;1;2;1;1;1;1;1;1;1;1;1
115;2;2;0;0;1;1;0;1;0;0;0;0;1;1;1;0;0;1;0;0;0
116;1;0;1;0;2;1;0;1;1;1;1;1;1;0;0;1;1;1;0;0;1
117;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
118;1;1;0;1;0;1;0;1;0;0;0;1;1;0;0;0;0;1;1;1;0
119;2;1;1;1;1;1;1;1;2;1;1;1;1;1;0;0;1;1;2;2;0
120;0;0;1;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;2;0
121;1;0;0;1;1;1;0;0;0;0;0;1;0;0;1;0;0;0;1;0;0
122;2;1;0;0;1;1;0;2;1;0;0;2;1;0;0;0;0;1;0;1;0
123;0;0;2;0;0;1;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0
124;1;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0
125;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
126;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
127;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
128;1;0;0;0;0;1;0;2;2;0;0;1;0;0;0;0;0;0;0;1;0
129;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
130;2;3;1;1;0;1;1;2;1;0;1;2;1;1;0;0;0;1;0;0;0
131;1;2;0;0;1;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0
132;0;0;0;0;0;1;0;0;1;0;1;0;0;0;0;0;0;1;0;0;0
133;3;1;0;1;1;1;0;2;2;0;2;2;1;1;0;0;0;1;1;0;0
134;1;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0
135;0;0;1;0;1;2;0;0;0;0;1;1;0;1;0;0;0;1;0;0;0
136;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
137;1;0;1;0;1;1;0;0;0;0;0;1;0;0;1;0;0;1;0;0;0
138;3;1;0;1;0;1;0;2;1;0;1;3;0;1;1;0;0;1;2;1;0
139;1;0;1;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0
140;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
141;3;2;1;0;1;0;0;1;1;1;1;3;1;1;0;1;1;1;0;0;1
142;1;0;1;0;0;1;1;2;0;0;1;2;2;0;1;0;0;1;1;0;0
143;0;0;3;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0
144;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
145;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
146;2;1;0;1;0;0;0;1;1;0;1;1;1;2;0;0;0;0;0;0;0
147;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
148;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0
149;1;0;0;0;0;1;1;1;1;0;0;1;1;0;0;0;0;1;0;0;0
